t=2026-06-17T23:50:47+0300 lvl=info msg="command usage" msg="Flag --request-header-add has been deprecated, use traffic policy instead"
t=2026-06-17T23:50:47+0300 lvl=info msg="no configuration paths supplied"
t=2026-06-17T23:50:47+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-17T23:50:47+0300 lvl=info msg="open config file" path=C:\\Users\\Константин\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-17T23:50:47+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-17T23:50:47+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=3e8f71e0c3d4 l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=ba0159b6bf7d l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=f24558aa4d10 l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:10+0300 lvl=info msg="join connections" obj=join id=614119b0163b l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:11+0300 lvl=info msg="join connections" obj=join id=713221cb3120 l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:11+0300 lvl=info msg="join connections" obj=join id=49f2a2ddddc6 l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:11+0300 lvl=info msg="join connections" obj=join id=88856ddf915b l=127.0.0.1:3000 r=79.133.42.80:51048
t=2026-06-18T00:53:11+0300 lvl=info msg="join connections" obj=join id=250e03e14893 l=127.0.0.1:3000 r=79.133.42.80:54956
t=2026-06-18T00:58:07+0300 lvl=info msg="join connections" obj=join id=92cc919a09ee l=127.0.0.1:3000 r=79.133.42.80:41556
t=2026-06-18T00:58:07+0300 lvl=info msg="join connections" obj=join id=203525e23700 l=127.0.0.1:3000 r=79.133.42.80:41556
t=2026-06-18T00:58:12+0300 lvl=info msg="join connections" obj=join id=c8c7c197126b l=127.0.0.1:3000 r=79.133.42.80:34982
t=2026-06-18T00:58:12+0300 lvl=info msg="join connections" obj=join id=c6c84b89533e l=127.0.0.1:3000 r=79.133.42.80:34982
t=2026-06-18T00:58:12+0300 lvl=info msg="join connections" obj=join id=3eb25cb82de6 l=127.0.0.1:3000 r=79.133.42.80:34982
t=2026-06-18T00:58:12+0300 lvl=info msg="join connections" obj=join id=0c8458b0a40a l=127.0.0.1:3000 r=79.133.42.80:34982
t=2026-06-18T00:58:12+0300 lvl=info msg="join connections" obj=join id=be7e23db7a52 l=127.0.0.1:3000 r=79.133.42.80:34982
